name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),soup
Miss Momo,Yes,No,3.2,12,BTM,Quick Bites,"Tibetan, Momos",250,Delivery,Bannerghatta Road,tibetan momos quick bites bannerghattaroad
Cool Joint,No,No,4.2,820,Jayanagar,Beverage Shop,"Beverages, Desserts",250,Desserts,Basavanagudi,beverages desserts beverage shop basavanagudi
S.L.V. Chats Corner,No,No,3.700448817952718,0,Basaveshwara Nagar,Quick Bites,"Street Food, Beverages",150,Dine-out,Rajajinagar,street food beverages quick bites rajajinagar
Sonar Bangala,Yes,No,3.8,76,Koramangala 5th Block,Quick Bites,"Bengali, North Indian",500,Delivery,BTM,bengali north indian quick bites btm
Surya Refreshments,Yes,No,3.9,40,Malleshwaram,Quick Bites,South Indian,150,Delivery,Malleshwaram,south indian quick bites malleshwaram
Kesar Sweet Shop and Fast Food,No,No,4.1,1123,Brookefield,Quick Bites,"North Indian, South Indian, Chinese, Street Food, Mithai",500,Delivery,Brookefield,north indian south indian chinese street food mithai quick bites brookefield
Savipriya Military Hotel,No,No,3.700448817952718,0,Rajajinagar,Quick Bites,South Indian,350,Dine-out,Malleshwaram,south indian quick bites malleshwaram
Udupi Grand,Yes,No,3.8,74,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari,south indian north indian chinese quick bites banashankari
Tandoori Taal,Yes,Yes,4.3,1788,Indiranagar,Casual Dining,"Biryani, North Indian",900,Delivery,Indiranagar,biryani north indian casual dining indiranagar
MoXa Bistro,No,Yes,3.9,36,Brigade Road,Casual Dining,"Continental, Italian, North Indian, Pizza","1,500",Dine-out,Brigade Road,continental italian north indian pizza casual dining brigaderoad
Ishta Upahar,Yes,No,3.4,41,Ulsoor,Quick Bites,South Indian,100,Delivery,Brigade Road,south indian quick bites brigaderoad
New GFC Dum Biryani,No,No,3.700448817952718,0,HSR,Quick Bites,"Biryani, South Indian",250,Delivery,HSR,biryani south indian quick bites hsr
Cake-O-Mania,Yes,No,3.4,7,Bannerghatta Road,"Takeaway, Delivery","Bakery, Desserts",300,Delivery,Bannerghatta Road,bakery desserts takeaway delivery bannerghattaroad
Maa Bhook Lagi,Yes,No,4.1,152,HSR,Delivery,North Indian,400,Delivery,Bellandur,north indian delivery bellandur
Biryani Rooh-e-Khaas,Yes,No,3.700448817952718,0,Bannerghatta Road,Quick Bites,"Biryani, Mughlai",400,Delivery,Bannerghatta Road,biryani mughlai quick bites bannerghattaroad
Fine Dine Restaurant,No,No,3.700448817952718,0,Electronic City,Quick Bites,"Biryani, Fast Food, South Indian",200,Delivery,Electronic City,biryani fast food south indian quick bites electroniccity
Deepak Paratha Plaza,No,No,3.5,18,New BEL Road,Quick Bites,"North Indian, Street Food",200,Delivery,New BEL Road,north indian street food quick bites newbelroad
Amritsari Kulcha Land,Yes,No,4.1,260,JP Nagar,Quick Bites,North Indian,300,Delivery,Bannerghatta Road,north indian quick bites bannerghattaroad
Karavalli - The Gateway Hotel,No,Yes,4.5,674,Residency Road,Fine Dining,"Mangalorean, Konkan, Seafood, Kerala","3,500",Dine-out,Brigade Road,mangalorean konkan seafood kerala fine dining brigaderoad
Best Brews - Four Points by Sheraton Bengaluru...,No,No,3.6,27,Whitefield,Bar,Continental,"1,500",Dine-out,Whitefield,continental bar whitefield
Rolla Rappa,Yes,No,3.6,176,HSR,Delivery,"Biryani, Fast Food, Rolls, Momos",400,Delivery,BTM,biryani fast food rolls momos delivery btm
Brilram's Balaji Bhavan,No,No,3.9,141,Whitefield,Casual Dining,"South Indian, North Indian, Chinese",700,Delivery,Whitefield,south indian north indian chinese casual dining whitefield
Plunge - Sheraton Grand Bengaluru Whitefield Hotel &...,No,No,3.700448817952718,0,Whitefield,Bar,Finger Food,"2,000",Pubs and bars,Whitefield,finger food bar whitefield
Sri Venkateswara Andra Mess,No,No,3.700448817952718,0,BTM,Quick Bites,South Indian,120,Delivery,BTM,south indian quick bites btm
Deli Chats and Sweets,Yes,No,4.1,39,Marathahalli,Quick Bites,"Street Food, Mithai",200,Delivery,Bellandur,street food mithai quick bites bellandur
Masala Secret Eat WOW,Yes,No,3.6,14,HSR,Quick Bites,"Street Food, Fast Food, Chinese, Momos",300,Delivery,HSR,street food fast food chinese momos quick bites hsr
Sudama Restaurant,No,No,3.700448817952718,0,Ulsoor,"Takeaway, Delivery","South Indian, North Indian",,Delivery,Brigade Road,south indian north indian takeaway delivery brigaderoad
A1 Garam Masala,Yes,No,3.6,25,Kanakapura Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",600,Delivery,Bannerghatta Road,north indian south indian andhra chinese casual dining bannerghattaroad
Archana's First Crush,Yes,No,3.7,31,Sarjapur Road,Bakery,"Bakery, Desserts",400,Delivery,Bellandur,bakery desserts bakery bellandur
Nandanam Restaurant,Yes,No,3.8,50,Electronic City,"Takeaway, Delivery","North Indian, South Indian",400,Delivery,Electronic City,north indian south indian takeaway delivery electroniccity
Yo Roll Corner,No,No,3.0,27,Banashankari,Quick Bites,"Street Food, Rolls",200,Dine-out,Banashankari,street food rolls quick bites banashankari
Al Khaleej Snacks Corner,No,No,3.700448817952718,0,Jayanagar,Quick Bites,"Lebanese, Fast Food, Beverages",200,Delivery,Basavanagudi,lebanese fast food beverages quick bites basavanagudi
Wow Tasty Food,Yes,No,3.700448817952718,0,Frazer Town,Quick Bites,"Chinese, Fast Food",300,Delivery,Brigade Road,chinese fast food quick bites brigaderoad
Momo Blues,Yes,No,3.700448817952718,0,Koramangala 5th Block,Quick Bites,"Chinese, Momos, Nepalese, Tibetan",200,Delivery,BTM,chinese momos nepalese tibetan quick bites btm
The Konkan - Seafood Restaurant,Yes,Yes,4.4,218,St. Marks Road,Casual Dining,"Seafood, Konkan, Mangalorean",850,Delivery,Brigade Road,seafood konkan mangalorean casual dining brigaderoad
The IT Crowd,Yes,No,2.8,20,Whitefield,Quick Bites,"North Indian, Burger, Sandwich, Chinese",400,Delivery,Brookefield,north indian burger sandwich chinese quick bites brookefield
Olive Tree,No,Yes,3.8,59,Magadi Road,Casual Dining,"North Indian, South Indian, Chinese",700,Dine-out,Rajajinagar,north indian south indian chinese casual dining rajajinagar
Kaf De Kashmere,No,No,3.700448817952718,0,HBR Layout,Cafe,Cafe,200,Cafes,Kalyan Nagar,cafe cafe kalyannagar
Desipun,Yes,Yes,4.2,344,Koramangala 5th Block,Casual Dining,North Indian,500,Delivery,BTM,north indian casual dining btm
SM Fast Food,No,No,3.700448817952718,0,BTM,Quick Bites,"South Indian, North Indian",300,Delivery,BTM,south indian north indian quick bites btm
Sri Mahadev Sweets,No,No,3.700448817952718,0,Electronic City,Quick Bites,"Desserts, Street Food, Mithai",150,Desserts,Electronic City,desserts street food mithai quick bites electroniccity
Chatpata India,Yes,No,3.9,100,Whitefield,Food Court,North Indian,400,Delivery,Brookefield,north indian food court brookefield
Night Panda,No,No,2.9,39,JP Nagar,"Takeaway, Delivery","Fast Food, North Indian, Chinese",500,Delivery,Bannerghatta Road,fast food north indian chinese takeaway delivery bannerghattaroad
At North Parontha Hut,No,No,3.700448817952718,0,Whitefield,Quick Bites,North Indian,200,Dine-out,Brookefield,north indian quick bites brookefield
Lifetree Caf,No,No,3.4,10,Richmond Road,Casual Dining,"North Indian, Chinese, Continental",700,Dine-out,Brigade Road,north indian chinese continental casual dining brigaderoad
Mojo Bites,No,No,3.9,23,Whitefield,Quick Bites,Fast Food,250,Desserts,Brookefield,fast food quick bites brookefield
Tummy Fuel,Yes,No,4.2,449,Jayanagar,Cafe,"Cafe, Beverages, Fast Food",400,Delivery,Basavanagudi,cafe beverages fast food cafe basavanagudi
Bhoja99,No,No,3.700448817952718,0,BTM,Quick Bites,North Indian,200,Delivery,BTM,north indian quick bites btm
The Tandoori Chai,Yes,No,3.9,60,HSR,Quick Bites,"North Indian, Fast Food, Street Food, Beverages",400,Delivery,BTM,north indian fast food street food beverages quick bites btm
Masti Masala,Yes,No,4.0,397,Rajajinagar,Quick Bites,North Indian,450,Delivery,Malleshwaram,north indian quick bites malleshwaram
Sruthi Mess,No,No,3.700448817952718,0,Electronic City,Mess,"South Indian, North Indian, Chinese",300,Delivery,Electronic City,south indian north indian chinese mess electroniccity
Muthashy's,Yes,No,4.2,465,BTM,Quick Bites,"Kerala, South Indian, Chinese",400,Delivery,BTM,kerala south indian chinese quick bites btm
Ivy Park,No,No,3.5,38,Sarjapur Road,Casual Dining,"South Indian, Kerala, North Indian, Chinese",500,Delivery,Sarjapur Road,south indian kerala north indian chinese casual dining sarjapurroad
V20,No,No,3.700448817952718,0,Electronic City,Food Court,"North Indian, Continental",300,Dine-out,Electronic City,north indian continental food court electroniccity
Yataii - Shangri-La Hotel,No,Yes,4.2,171,Vasanth Nagar,Fine Dining,Japanese,"2,300",Dine-out,Lavelle Road,japanese fine dining lavelleroad
Sri Ragavendhra Upahar,No,No,3.700448817952718,0,Electronic City,Quick Bites,South Indian,200,Dine-out,Electronic City,south indian quick bites electroniccity
Deccan Kitchen,Yes,No,3.7,31,Marathahalli,Casual Dining,"South Indian, North Indian",700,Delivery,Bellandur,south indian north indian casual dining bellandur
ANTIGRAVITY,No,Yes,4.4,730,Marathahalli,"Pub, Casual Dining","Continental, North Indian, Chinese, BBQ","1,500",Buffet,Marathahalli,continental north indian chinese bbq pub casual dining marathahalli
Sangeetha Bar & Restaurant,No,No,3.4,11,Seshadripuram,"Bar, Casual Dining","North Indian, South Indian",800,Dine-out,Malleshwaram,north indian south indian bar casual dining malleshwaram
Vishwaas Take Away,No,No,3.2,7,Marathahalli,Quick Bites,"North Indian, Chinese",250,Delivery,Brookefield,north indian chinese quick bites brookefield
Swing,No,Yes,3.8,201,Indiranagar,"Casual Dining, Bar","North Indian, Chinese, Mangalorean","1,000",Dine-out,Indiranagar,north indian chinese mangalorean casual dining bar indiranagar
Bharathi Dosa Camp,No,No,3.2,7,Commercial Street,Quick Bites,South Indian,100,Dine-out,Brigade Road,south indian quick bites brigaderoad
Bhikaram Chandmal Bhujiawala,No,No,3.7,70,Jeevan Bhima Nagar,Quick Bites,"North Indian, Mithai",200,Delivery,Indiranagar,north indian mithai quick bites indiranagar
Poha On Wheels,Yes,No,4.1,65,Bellandur,"Takeaway, Delivery",Street Food,100,Delivery,Bellandur,street food takeaway delivery bellandur
Manna Tasty Foods,No,No,3.700448817952718,0,Hosur Road,Quick Bites,"South Indian, Biryani, Seafood",500,Dine-out,BTM,south indian biryani seafood quick bites btm
Narayany Pure Veg,Yes,No,3.700448817952718,0,JP Nagar,Quick Bites,"Street Food, North Indian",250,Delivery,Bannerghatta Road,street food north indian quick bites bannerghattaroad
Momo Hut,Yes,No,4.0,684,Koramangala 5th Block,Quick Bites,"Chinese, Tibetan, Momos",250,Delivery,BTM,chinese tibetan momos quick bites btm
Bawarchy Hotel,No,No,3.700448817952718,0,RT Nagar,Quick Bites,"North Indian, Biryani",300,Dine-out,Frazer Town,north indian biryani quick bites frazertown
Little Italy,Yes,Yes,4.3,715,Sarjapur Road,Casual Dining,"Italian, Pizza","1,500",Buffet,Bellandur,italian pizza casual dining bellandur
Spice Affair,No,No,3.6,28,Marathahalli,Casual Dining,"North Indian, Chinese",600,Delivery,Marathahalli,north indian chinese casual dining marathahalli
Arirang Korean Restaurant,No,Yes,4.0,237,Kammanahalli,Casual Dining,Korean,"1,400",Dine-out,Kalyan Nagar,korean casual dining kalyannagar
Parathe Wali Gali,Yes,No,3.9,36,Wilson Garden,Quick Bites,North Indian,250,Delivery,Basavanagudi,north indian quick bites basavanagudi
Tea Samskruthi,No,No,3.9,18,Malleshwaram,Cafe,Cafe,200,Cafes,Malleshwaram,cafe cafe malleshwaram
Three Dots & A Dash,No,Yes,4.3,1196,JP Nagar,"Bar, Casual Dining","European, Continental","1,500",Dine-out,Bannerghatta Road,european continental bar casual dining bannerghattaroad
Seafood Dot Grill,Yes,No,3.9,36,Yeshwantpur,"Casual Dining, Bar","Seafood, North Indian, Mangalorean","1,200",Delivery,Malleshwaram,seafood north indian mangalorean casual dining bar malleshwaram
HungerLoft,Yes,No,2.5,109,BTM,Casual Dining,"North Indian, Chinese, Arabian",800,Delivery,BTM,north indian chinese arabian casual dining btm
Goli Vada Pav NO.1,No,No,3.4,7,MG Road,Quick Bites,Street Food,200,Delivery,Church Street,street food quick bites churchstreet
Desi Rasoi,Yes,Yes,3.8,361,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani",600,Delivery,Basavanagudi,biryani north indian chinese rajasthani casual dining basavanagudi
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari,cafe burger continental italian desserts cafe banashankari
The Salt Grill - Hilton Bangalore Embassy Golflinks,No,Yes,4.1,94,Domlur,Fine Dining,"European, Mediterranean, Salad","3,000",Dine-out,Koramangala 4th Block,european mediterranean salad fine dining koramangala thblock
Amma - Manae,No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari,south indian takeaway delivery banashankari
Dairy Day Corner,No,No,3.700448817952718,0,JP Nagar,"Dessert Parlor, Quick Bites","Ice Cream, Desserts, Fast Food",200,Desserts,Jayanagar,ice cream desserts fast food dessert parlor quick bites jayanagar
Panchami Garden,No,No,3.5,56,Bannerghatta Road,Quick Bites,"South Indian, North Indian",400,Dine-out,Bannerghatta Road,south indian north indian quick bites bannerghattaroad
Chutneys Tiffin Center,No,No,3.700448817952718,0,BTM,Quick Bites,"South Indian, Andhra, Chinese",300,Delivery,BTM,south indian andhra chinese quick bites btm
Zaika Take Away,No,No,2.4,96,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Thai",500,Delivery,Bannerghatta Road,north indian chinese thai casual dining bannerghattaroad
Mini Forest,No,No,3.3,6,JP Nagar,Quick Bites,"Fast Food, Desserts",500,Desserts,Bannerghatta Road,fast food desserts quick bites bannerghattaroad
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,Banashankari,north indian mughlai chinese casual dining banashankari
Lemlei Cafe,No,No,3.700448817952718,0,Kammanahalli,Cafe,"Cafe, Continental, North Eastern, Chinese, Fast Food",400,Cafes,Kalyan Nagar,cafe continental north eastern chinese fast food cafe kalyannagar
Connie's Restaurant & Steakhouse,Yes,Yes,4.3,1434,Kammanahalli,Casual Dining,"Steak, Continental, Burger, American, BBQ, European, Salad","1,500",Delivery,Frazer Town,steak continental burger american bbq european salad casual dining frazertown
Biriyani Combo 99,No,No,3.700448817952718,0,Indiranagar,Quick Bites,Biryani,300,Delivery,Indiranagar,biryani quick bites indiranagar
Alibaba Cafe and Restaurant,Yes,No,3.9,450,Frazer Town,Casual Dining,"Arabian, Middle Eastern",700,Delivery,Brigade Road,arabian middle eastern casual dining brigaderoad
The Black Rabbit,No,Yes,4.3,4187,Indiranagar,"Bar, Casual Dining","Continental, Salad, Burger, Finger Food, Pizza","1,500",Dine-out,Indiranagar,continental salad burger finger food pizza bar casual dining indiranagar
Al Madina Family Restaurant,No,No,3.700448817952718,0,City Market,Quick Bites,"North Indian, South Indian, Arabian",500,Dine-out,Basavanagudi,north indian south indian arabian quick bites basavanagudi
Coffee Cafe,No,No,3.700448817952718,0,JP Nagar,Quick Bites,South Indian,100,Dine-out,Bannerghatta Road,south indian quick bites bannerghattaroad
Srinidhi Veg Food Court,Yes,No,3.9,96,Kalyan Nagar,Quick Bites,"Chinese, North Indian, South Indian",300,Delivery,Kalyan Nagar,chinese north indian south indian quick bites kalyannagar
Ritomi's Lov,Yes,No,3.7,48,Bellandur,Quick Bites,North Indian,400,Delivery,Bellandur,north indian quick bites bellandur
The Kitchen Story,Yes,No,3.3,18,HSR,Delivery,"North Indian, Chinese",300,Delivery,BTM,north indian chinese delivery btm
Tango Sandwich King,Yes,No,3.5,9,Basaveshwara Nagar,Quick Bites,"Fast Food, Sandwich",200,Delivery,Rajajinagar,fast food sandwich quick bites rajajinagar
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari,north indian mughlai fast food takeaway delivery banashankari
Twist N Roll,No,No,3.4,13,Yelahanka,Quick Bites,Fast Food,,Delivery,New BEL Road,fast food quick bites newbelroad
Sri Sai Restaurant,No,No,3.700448817952718,0,BTM,Quick Bites,"South Indian, Seafood",300,Dine-out,BTM,south indian seafood quick bites btm
Poorvika Restro Cafe,Yes,No,3.7,76,HSR,Casual Dining,"Chinese, North Indian",700,Delivery,HSR,chinese north indian casual dining hsr
The J,Yes,No,4.0,134,Church Street,Quick Bites,"Fast Food, Beverages",450,Delivery,Brigade Road,fast food beverages quick bites brigaderoad
Yummy Momos,Yes,No,3.2,4,Kumaraswamy Layout,Quick Bites,"Momos, Tibetan, Chinese",200,Delivery,Banashankari,momos tibetan chinese quick bites banashankari
Dining Hut,Yes,No,3.5,10,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, South Indian",400,Delivery,Banashankari,north indian chinese south indian quick bites banashankari
Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,"Chinese, Momos",550,Delivery,BTM,chinese momos casual dining btm
Vandana Foods,No,No,3.700448817952718,0,Marathahalli,Delivery,Andhra,250,Delivery,Marathahalli,andhra delivery marathahalli
Alechemy,No,No,3.700448817952718,0,BTM,Casual Dining,North Indian,"1,500",Delivery,BTM,north indian casual dining btm
New Tasty Cafeteria,Yes,No,3.8,376,BTM,Quick Bites,"North Indian, Chinese, Arabian, Rolls, Juices",500,Delivery,BTM,north indian chinese arabian rolls juices quick bites btm
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari,biryani takeaway delivery banashankari
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,Casual Dining,"North Indian, Biryani, Chinese",800,Delivery,BTM,north indian biryani chinese casual dining btm
Chinita Real Mexican Food,No,No,4.5,729,Koramangala 5th Block,Casual Dining,Mexican,"1,200",Dine-out,BTM,mexican casual dining btm
Big Straw Blast,Yes,No,3.5,6,Sahakara Nagar,Beverage Shop,Beverages,150,Delivery,New BEL Road,beverages beverage shop newbelroad
New Milestone Restaurant,Yes,No,3.700448817952718,0,Marathahalli,Casual Dining,North Indian,700,Delivery,Brookefield,north indian casual dining brookefield
The Bar Stock Exchange,No,No,4.3,606,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food","1,300",Dine-out,Brigade Road,continental chinese north indian finger food pub casual dining brigaderoad
Ootada Mane,Yes,No,2.9,67,Yeshwantpur,Casual Dining,"South Indian, North Indian, Chinese",600,Delivery,Malleshwaram,south indian north indian chinese casual dining malleshwaram
Little White Kitchen,Yes,No,3.8,18,Brigade Road,Quick Bites,"Chinese, Continental, North Indian, Italian",200,Delivery,Brigade Road,chinese continental north indian italian quick bites brigaderoad
Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari,street food fast food quick bites banashankari
A Southern Fair,Yes,No,3.2,16,Whitefield,Casual Dining,"Biryani, Seafood, South Indian",750,Delivery,Brookefield,biryani seafood south indian casual dining brookefield
PHEW (Play Hard Eat Wild),Yes,Yes,3.9,486,BTM,Cafe,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Delivery,Bannerghatta Road,continental lebanese middle eastern north indian chinese bbq cafe cafe bannerghattaroad
Kurtoskalacs,No,No,4.6,342,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400,Desserts,BTM,desserts fast food dessert parlor quick bites btm
Lotus Bell,No,No,3.700448817952718,0,New BEL Road,Quick Bites,"North Indian, Chinese",500,Delivery,New BEL Road,north indian chinese quick bites newbelroad
Kitty's Cafe,Yes,No,3.6,43,New BEL Road,Quick Bites,Fast Food,300,Delivery,Malleshwaram,fast food quick bites malleshwaram
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari,north indian mughlai south indian chinese casual dining banashankari
Nellore Dosa Camp,No,No,3.3,5,BTM,Quick Bites,"Andhra, South Indian",70,Dine-out,BTM,andhra south indian quick bites btm
UP Style North Indian Food,Yes,No,3.6,46,Jayanagar,"Takeaway, Delivery",North Indian,100,Delivery,Basavanagudi,north indian takeaway delivery basavanagudi
Cake Couture,No,No,3.700448817952718,0,Shivajinagar,"Takeaway, Delivery","Bakery, Desserts",350,Delivery,Brigade Road,bakery desserts takeaway delivery brigaderoad
Citrus Cafe - Lemon Tree Premier,No,No,3.9,183,Ulsoor,Casual Dining,"North Indian, Continental, South Indian","2,200",Buffet,Brigade Road,north indian continental south indian casual dining brigaderoad
Sree Abhiruchi,No,No,2.6,20,HSR,Casual Dining,"Andhra, Biryani, North Indian",600,Delivery,HSR,andhra biryani north indian casual dining hsr
BBQ King,No,No,3.4,6,Marathahalli,Casual Dining,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",400,Delivery,Brookefield,fast food chinese burger hot dogs sandwich casual dining brookefield
The Coffee Bean & Tea Leaf,Yes,No,3.8,260,MG Road,Cafe,Cafe,700,Cafes,Brigade Road,cafe cafe brigaderoad
Quench The Juice Lounge,Yes,No,3.6,17,Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Basavanagudi,beverages juices ice cream beverage shop basavanagudi
Biriyaniz,Yes,No,3.4,301,HSR,"Takeaway, Delivery","Biryani, North Indian, Chinese, Andhra",400,Delivery,BTM,biryani north indian chinese andhra takeaway delivery btm
Mandi,Yes,Yes,3.8,560,JP Nagar,Casual Dining,North Indian,800,Delivery,Bannerghatta Road,north indian casual dining bannerghattaroad
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari,north indian chinese casual dining banashankari
Sri Sai Sagar Food,No,No,3.700448817952718,0,MG Road,Quick Bites,"Street Food, Fast Food, North Indian",300,Delivery,Brigade Road,street food fast food north indian quick bites brigaderoad
Little Orissa Restaurant,Yes,No,3.9,346,Indiranagar,Casual Dining,"Oriya, North Indian, Bengali, Chinese",450,Delivery,Indiranagar,oriya north indian bengali chinese casual dining indiranagar
Whisk' N Creme',No,No,3.5,11,BTM,Bakery,Bakery,300,Desserts,Bannerghatta Road,bakery bakery bannerghattaroad
Kanhaiyas,Yes,No,3.6,10,Bannerghatta Road,Quick Bites,South Indian,150,Delivery,Bannerghatta Road,south indian quick bites bannerghattaroad
Kulhad Junction,No,No,3.700448817952718,0,Electronic City,Cafe,Cafe,100,Cafes,Electronic City,cafe cafe electroniccity
La Estranger Cafe,Yes,No,3.8,47,HSR,Cafe,"Cafe, Burger, Sandwich, Beverages",500,Cafes,HSR,cafe burger sandwich beverages cafe hsr
Thanco's Natural Ice Cream,Yes,No,3.6,27,BTM,Dessert Parlor,"Ice Cream, Desserts",450,Delivery,Bannerghatta Road,ice cream desserts dessert parlor bannerghattaroad
Udupi Vaibhav,No,No,4.1,97,Marathahalli,Casual Dining,"Chinese, North Indian, South Indian",400,Dine-out,Marathahalli,chinese north indian south indian casual dining marathahalli
Spice Up,Yes,No,3.8,146,JP Nagar,Casual Dining,Chinese,600,Delivery,Bannerghatta Road,chinese casual dining bannerghattaroad
The Chocolate Heaven,No,No,3.700448817952718,0,Commercial Street,"Dessert Parlor, Cafe","Desserts, Cafe",600,Cafes,Brigade Road,desserts cafe dessert parlor cafe brigaderoad
Fava Bistro,Yes,Yes,4.4,383,Koramangala 5th Block,"Casual Dining, Bar","Mediterranean, Pizza, Italian, Beverages","1,500",Delivery,BTM,mediterranean pizza italian beverages casual dining bar btm
Up Bhavan,No,No,3.4,6,Commercial Street,Sweet Shop,"Mithai, Street Food",150,Desserts,Brigade Road,mithai street food sweet shop brigaderoad
Ranjitha Food Court,No,No,3.700448817952718,0,HSR,"Takeaway, Delivery",South Indian,300,Delivery,HSR,south indian takeaway delivery hsr
Parkview,No,No,4.0,129,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Bannerghatta Road,south indian north indian chinese quick bites bannerghattaroad
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari,north indian iranian casual dining banashankari
Fahad Hotel,No,No,3.3,4,Jayanagar,Quick Bites,Fast Food,200,Dine-out,BTM,fast food quick bites btm
Payal Fast Food & Tiffen Centre,No,No,3.700448817952718,0,Electronic City,Quick Bites,Fast Food,100,Delivery,Electronic City,fast food quick bites electroniccity
Catch,No,No,3.700448817952718,0,Marathahalli,Quick Bites,"North Indian, Chinese, South Indian",350,Dine-out,Marathahalli,north indian chinese south indian quick bites marathahalli
Scottish Pub,No,No,3.9,191,St. Marks Road,Bar,Finger Food,600,Dine-out,Brigade Road,finger food bar brigaderoad
Gabbar Chai,No,No,3.7,74,Sarjapur Road,Cafe,"Cafe, Tea",,Cafes,Sarjapur Road,cafe tea cafe sarjapurroad
BMG Hotel,No,No,3.700448817952718,0,Electronic City,Quick Bites,"South Indian, North Indian",200,Dine-out,Electronic City,south indian north indian quick bites electroniccity
Xpress Biryani,Yes,No,4.3,146,Ulsoor,Casual Dining,"Biryani, North Indian, Kebab",650,Delivery,Brigade Road,biryani north indian kebab casual dining brigaderoad
Mayuri Multicuisine Restaurant,No,No,3.6,12,Marathahalli,Casual Dining,North Indian,500,Delivery,Marathahalli,north indian casual dining marathahalli
OrganicFeast,Yes,No,2.9,45,Electronic City,Quick Bites,"North Indian, Chinese, Healthy Food",400,Delivery,Electronic City,north indian chinese healthy food quick bites electroniccity
The Whitefield Arms Pub & Microbrewery,Yes,Yes,4.2,1113,Whitefield,"Pub, Microbrewery","British, Continental, BBQ","1,600",Delivery,Whitefield,british continental bbq pub microbrewery whitefield
Snow Gola,No,No,3.7,17,Brigade Road,Dessert Parlor,Desserts,150,Desserts,Brigade Road,desserts dessert parlor brigaderoad
Vapour Brewpub and Diner,No,Yes,4.6,2726,Sarjapur Road,"Microbrewery, Pub","North Indian, Continental, Italian","1,400",Dine-out,Bellandur,north indian continental italian microbrewery pub bellandur
The Food Therapy,No,No,3.700448817952718,0,Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Continental, Chinese","1,000",Delivery,HSR,north indian south indian continental chinese casual dining bar hsr
Lassi Darbar,Yes,No,3.5,11,BTM,Beverage Shop,"Ice Cream, Juices, Beverages",200,Delivery,Bannerghatta Road,ice cream juices beverages beverage shop bannerghattaroad
Hotel S Mom,Yes,No,3.700448817952718,0,Bellandur,Quick Bites,"South Indian, Hyderabadi, Chinese",350,Delivery,Bellandur,south indian hyderabadi chinese quick bites bellandur
Northwind,No,No,3.9,83,Seshadripuram,Casual Dining,"Biryani, Chinese, North Indian, Mangalorean",650,Delivery,Malleshwaram,biryani chinese north indian mangalorean casual dining malleshwaram
Cafe Cerrise,No,No,3.8,99,Ulsoor,Cafe,"Cafe, Continental, Salad",600,Cafes,Brigade Road,cafe continental salad cafe brigaderoad
Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,Delivery,Banashankari,south indian mangalorean quick bites banashankari
New Salem Spices,No,No,3.5,50,Banaswadi,Casual Dining,"South Indian, Chettinad, Chinese",600,Dine-out,Kalyan Nagar,south indian chettinad chinese casual dining kalyannagar
Dosa Time,Yes,No,3.8,106,Sarjapur Road,Takeaway,South Indian,200,Delivery,Bellandur,south indian takeaway bellandur
V Dine,No,No,3.700448817952718,0,Whitefield,Quick Bites,"Chinese, Mughlai",300,Dine-out,Whitefield,chinese mughlai quick bites whitefield
